image_path,tag,ansible_core_version,python_version,rhel_version
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-371,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-383,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-405,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-415,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-421,2.15.3,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-428,2.15.4,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-440,2.15.4,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-451,2.15.5,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-466,2.15.5,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-472,2.15.5,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-484,2.15.6,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-488,2.15.6,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-500,2.15.8,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-527,2.15.9,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-548,2.15.9,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-587,2.15.10,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-611,2.15.10,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-637,2.15.10,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-650,2.15.11,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-658,2.15.11,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-684,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-720,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-727,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-731,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-758,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-781,2.15.13,3.9.19,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-788,2.15.13,3.9.19,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-808,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-836,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-852,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-862,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-900,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-920,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-934,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,1.0.0-941,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-minimal-rhel9,latest,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-1031,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-1046,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-1058,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-340,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-342,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-355,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-378,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-390,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-394,2.15.3,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-402,2.15.4,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-424,2.15.4,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-435,2.15.5,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-456,2.15.5,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-463,2.15.5,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-486,2.15.6,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-491,2.15.6,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-504,2.15.8,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-542,2.15.9,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-573,2.15.9,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-606,2.15.10,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-627,2.15.10,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-660,2.15.10,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-681,2.15.11,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-689,2.15.11,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-725,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-775,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-787,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-793,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-809,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-826,2.15.12,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-850,2.15.13,3.9.19,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-860,2.15.13,3.9.19,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-888,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-927,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-946,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-959,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,1.0.0-998,2.15.13,3.9.21,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel9,latest,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15,2.15.13,3.9.21,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.0,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.0-12,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.0-9,2.15.0,3.9.16,9.2 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.10,2.15.10,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.10-2,2.15.10,3.9.18,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.10-5,2.15.10,3.9.18,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.15.10-8,2.15.10,3.9.18,9.4 (Plow)
